,ad_imp_mean,ad_imp_std,scz_imp_mean,scz_imp_std
Oligo,0.875077587657285,0.3402140334876648,1.1362461580402432,0.3360183845985878
Astro,1.1334502069279746,0.34505143068523747,1.6470734824234603,0.2978632194148922
EN_L2_3_IT,1.2204333652957329,0.38301946057618136,1.5729993805606732,0.27359025302459067
Micro,1.3238398645361904,0.41012952109239903,2.1041870326958008,0.42530976501322715
OPC,1.3440978631547404,0.4080387392589095,1.6540315788756825,0.294880996828173
IN_VIP,1.4245431427165678,0.46592204170337737,1.8034736047061937,0.2885799150998136
EN_L3_5_IT_2,1.4172259561149911,0.43190972042658654,1.8841403430007866,0.3174862027926631
EN_L3_5_IT_3,1.4528342789868463,0.4236225444200892,1.998711196102672,0.34218455854589663
IN_PVALB,1.5041112849157368,0.4364839522625205,1.763364720846044,0.2782811358149078
IN_SST,1.5433079098340279,0.4535483885555769,1.9056232701810034,0.325309469472894
IN_ADARB2,1.8878904328268082,0.463624929256496,2.1436270927816183,0.27843823684084107
EN_L3_5_IT_1,1.6964958571017106,0.4357459523614786,2.076730983257108,0.33515848828267153
IN_LAMP5_RELN,1.7583492071139042,0.4426152121847424,2.054171053471107,0.32834650169450835
VLMC,1.1932792270398442,0.48170839624709394,2.1240400560105273,0.5750019224082263
EN_L6_IT_1,1.8069738456515474,0.3962657451826739,2.0833774052015164,0.33093142837060363
EN_L6_CT,1.7232755155137864,0.41913418034116073,2.0852913350557776,0.3227300934925301
IN_LAMP5_LHX6,1.9466182209052014,0.4198849859389072,2.143884839194628,0.2916715853564567
Endo,1.8693201383344173,0.4688706868295945,2.0617763387689645,0.3613568675081287
IN_PVALB_CHC,1.6853210303268649,0.43374699901794217,2.0010681903813463,0.3442288802397315
EN_L6B,1.819423266294799,0.4294803310749575,2.0583202421716775,0.339089338189154
PC,1.491364192543739,0.4744273170221502,1.9916031189490921,0.4734346436795065
EN_L5_6_NP,1.8513592431906263,0.43719339601508184,2.1598046669392605,0.3810183660429325
PVM,1.8156351185353943,0.43858836980647103,2.6274067599343356,0.35244003632392773
EN_L6_IT_2,1.8552498755643412,0.4101560972371095,2.146768678087263,0.3679244105958262
Immune,1.5328467690752012,0.4032621631027102,2.009642507974339,0.4369932080306298
SMC,1.1258157301578449,0.447162999832788,2.207155898238647,0.6199449993671187
