"gene","cellgroup","log_fold_change","inv_fdr","stage"
"ARID5A","PVM",-0.119708911805223,-4.34294517815224e-11,"SCZ vs AD"
"BHLHE40","PVM",0.0953866787250978,-4.34294517815224e-11,"SCZ vs AD"
"CEBPA","PVM",0.129136824966326,-4.34294517815224e-11,"SCZ vs AD"
"FOXP2","PVM",0.399316884605738,-4.34294517815224e-11,"SCZ vs AD"
"GABPB1","PVM",0.329975775943162,-4.34294517815224e-11,"SCZ vs AD"
"NFATC2","PVM",0.107436729274708,-4.34294517815224e-11,"SCZ vs AD"
"NFKB2","PVM",-0.087868402486005,-4.34294517815224e-11,"SCZ vs AD"
"RUNX2","PVM",0.206846332242303,-4.34294517815224e-11,"SCZ vs AD"
"LEF1","PC",0.235315317889954,-4.34294517815224e-11,"SCZ vs AD"
"IRF7","VLMC",0.175891872110402,-4.34294517815224e-11,"SCZ vs AD"
"KLF15","OPC",0.383459431996839,-4.34294517815224e-11,"SCZ vs AD"
"LHX6","OPC",0.0225700564960558,-4.34294517815224e-11,"SCZ vs AD"
"MSX2","OPC",0.565394805181688,-4.34294517815224e-11,"SCZ vs AD"
"PPARA","OPC",0.304991751718803,-4.34294517815224e-11,"SCZ vs AD"
"SOX4","OPC",-0.55109798662571,-4.34294517815224e-11,"SCZ vs AD"
"SOX5","OPC",-0.0265605395742399,-4.34294517815224e-11,"SCZ vs AD"
"ZMAT4","OPC",0.192394779724896,-4.34294517815224e-11,"SCZ vs AD"
"ZNF362","OPC",0.744221478653029,-4.34294517815224e-11,"SCZ vs AD"
"BHLHE40","Oligo",0.524378577839879,-4.34294517815224e-11,"SCZ vs AD"
"CEBPA","Micro",0.377776592452315,-4.34294517815224e-11,"SCZ vs AD"
"LEF1","Immune",0.117978962337852,-4.34294517815224e-11,"SCZ vs AD"
"BHLHE40","Astro",0.45082574244925,-4.34294517815224e-11,"SCZ vs AD"
"LHX6","OPC",0.0134938953975168,-4.34294517815224e-11,"Early vs Mid"
"MSX2","OPC",0.0965740598696656,-4.34294517815224e-11,"Early vs Mid"
"IRF7","SMC",-0.190408859963115,-4.34294517815224e-11,"Early vs Mid"
"RUNX2","Immune",-0.227571335543007,-4.34294517815224e-11,"Early vs Mid"
"ZMAT4","OPC",0.087201036356613,-4.34294517815224e-11,"Mid vs Late"
"NFKB2","PVM",-0.0725984179789865,-4.34294517815224e-11,"Early vs Late"
"LHX6","OPC",0.0427334219925131,-4.34294517815224e-11,"Early vs Late"
"MSX2","EN",0.0501110856460164,-4.34294517815224e-11,"SCZ vs AD"
"LEF1","EN",0.883891088958152,-4.34294517815224e-11,"SCZ vs AD"
"BHLHE40","EN",-0.155344754470059,-4.34294517815224e-11,"SCZ vs AD"
"FOXP2","EN",-0.221721780344503,-4.34294517815224e-11,"SCZ vs AD"
"IRF7","EN",-0.192117521319015,-4.34294517815224e-11,"SCZ vs AD"
"SOX5","EN",0.0198989737593712,-4.34294517815224e-11,"SCZ vs AD"
"LHX6","EN",-0.0602558922295793,-4.34294517815224e-11,"SCZ vs AD"
"NFKB2","EN",-0.110389004420492,-4.34294517815224e-11,"Early vs Mid"
"LHX6","EN",0.0531062101316861,-4.34294517815224e-11,"Early vs Mid"
"MSX2","EN",0.0738582744446592,-4.34294517815224e-11,"Early vs Mid"
"ZMAT4","EN",-0.0119835537225392,-4.34294517815224e-11,"Early vs Mid"
"ZMAT4","EN",0.0354959891845508,-4.34294517815224e-11,"Mid vs Late"
"NFKB2","EN",0.362564323702319,-4.34294517815224e-11,"Mid vs Late"
"MSX2","EN",-0.0590918370201791,-4.34294517815224e-11,"Mid vs Late"
"SOX5","EN",-0.0436179151119935,-4.34294517815224e-11,"Mid vs Late"
"LEF1","EN",0.209250131542744,-4.34294517815224e-11,"Early vs Late"
"LHX6","EN",0.121139326919002,-4.34294517815224e-11,"Early vs Late"
"IRF7","EN",0.208102230738191,-4.34294517815224e-11,"Early vs Late"
"MSX2","EN",0.0392104934921808,-4.34294517815224e-11,"Early vs Late"
"MSX2","IN",0.0361024298304146,-4.34294517815224e-11,"SCZ vs AD"
"LHX6","IN",0.035563032142838,-4.34294517815224e-11,"SCZ vs AD"
"NFKB2","IN",0.271732824842087,-4.34294517815224e-11,"SCZ vs AD"
"RUNX2","IN",0.0556102725848144,-4.34294517815224e-11,"SCZ vs AD"
"IRF7","IN",0.0725786783588501,-4.34294517815224e-11,"Mid vs Late"
"SOX4","IN",0.106288417037546,-4.34294517815224e-11,"Early vs Late"
"FOXP2","EN",0.266311150042095,0.000716375720168813,"Early vs Late"
"SOX5","EN",0.0540536587377673,0.0297351873677535,"Early vs Mid"
"NFKB2","EN",0.437159146247195,0.0423243146744062,"Early vs Late"
"LEF1","Astro",0.884446740861671,0.0780805137829046,"SCZ vs AD"
"NFKB2","IN",0.250498974972951,0.0895753053645849,"Early vs Late"
"LHX6","IN",0.0130541923522456,0.206918528755935,"Early vs Mid"
"MSX2","IN",0.0367130167625681,0.246672333264748,"Early vs Late"
"MSX2","IN",0.105097666579174,0.515992457290128,"Early vs Mid"
"ZMAT4","IN",0.0644360544484964,0.585761290501631,"Early vs Mid"
"RUNX2","IN",0.0125846868595149,0.846039034998062,"Early vs Late"
"ZMAT4","IN",0.0956993599020563,0.9902719164254,"SCZ vs AD"
"ZMAT4","EN",0.0957389667747943,1.30340349943667,"SCZ vs AD"
"LHX6","IN",0.0441319862902391,1.83966700367876,"Early vs Late"
"ZMAT4","EN",0.098697257766457,3.75761119160812,"Early vs Late"
"ZMAT4","IN",0.0827063184925454,3.99091420948357,"Early vs Late"
"RBFOX2","IN",0.0930511437556171,4.7692549063961,"SCZ vs AD"
"RFX2","Astro",0.423187063799555,4.47822141673591,"Early vs Late"
"PAX6","Astro",0.31879267911113,4.30287394869945,"Early vs Late"
"ARX","IN",0.0854617716228985,4.20388480641886,"Early vs Late"
"TCF4","IN",0.1056658352502,4.20388480641886,"Early vs Late"
"ZMAT4","IN",0.0827063184925454,3.99091420948357,"Early vs Late"
"TCF7L1","Astro",0.56323180615661,3.87186882569458,"Early vs Late"
"RBFOX2","EN",0.0984790581772955,3.77826399783148,"SCZ vs AD"
"ZMAT4","EN",0.098697257766457,3.75761119160812,"Early vs Late"
"DLX1","IN",0.0380913068031183,3.44712242475017,"Early vs Late"
"SOX9","Astro",0.450782758907989,2.94139106602581,"Early vs Late"
"SETBP1","IN",0.0394958462578268,2.90476858512489,"Early vs Late"
"REL","Micro",0.421181282620901,2.74463021667604,"Early vs Late"
"IRF5","Micro",0.280387581342019,2.69427558569814,"SCZ vs AD"
"SRRM3","IN",0.139976576961425,2.60783830336904,"Early vs Late"
"ARX","IN",-0.0114043195419167,2.60405618149771,"SCZ vs AD"
"FOXO1","Astro",0.487422440436909,2.59761692368004,"Early vs Late"
"BCL11A","EN",0.0802568623835551,2.45179082914556,"SCZ vs AD"
"RBFOX2","EN",0.0854739515215431,2.43870791067076,"Early vs Late"
"BCL6","Astro",0.496974606138181,2.42608105420402,"Early vs Late"
"PAX6","Astro",0.320437510513652,2.37007571348638,"SCZ vs AD"
"LHX6","IN",0.0441319862902391,1.83966700367876,"Early vs Late"
"TCF4","IN",0.0999122672723001,1.77181522547643,"Early vs Mid"
"PKNOX2","IN",0.0161684547837259,1.67406765876665,"Early vs Late"
"PKNOX2","EN",0.00740015046821311,1.58482360282839,"Early vs Late"
"SRRM3","IN",0.163918469466107,1.54243345345162,"SCZ vs AD"
"RBFOX2","IN",0.0757696553734353,1.49755673857684,"Early vs Late"
"PAX6","Astro",0.235740609207076,1.30353689079628,"Early vs Mid"
"ZMAT4","EN",0.0957389667747943,1.30340349943667,"SCZ vs AD"
"TCF4","IN",0.0838763421041339,1.2831015981346,"SCZ vs AD"
"IRF5","PVM",0.199780956214903,1.08641360600526,"SCZ vs AD"
"PKNOX2","IN",0.0282934269301934,1.07100275780569,"SCZ vs AD"
"BCL11A","IN",0.0672506505201904,1.0533113604542,"SCZ vs AD"
"ZMAT4","IN",0.0956993599020563,0.9902719164254,"SCZ vs AD"
"DLX1","IN",0.0426661717961234,0.893851779066777,"SCZ vs AD"
"BCL11A","IN",0.0447799641500868,0.818709564609558,"Early vs Late"
"RBFOX2","IN",0.0889791641347703,0.80896536546349,"Early vs Mid"
"SRRM3","EN",0.116341812937802,0.724581036909028,"Early vs Late"
"TCF7L1","Astro",0.442084699292332,0.639333073610998,"SCZ vs AD"
"ZMAT4","IN",0.0644360544484964,0.585761290501631,"Early vs Mid"
"ARX","IN",0.0614644337425712,0.544079820309503,"Early vs Mid"
"BCL11A","EN",0.0480582660603544,0.313416913533012,"Early vs Late"
"RFX2","Astro",0.380744072131093,0.253594730635128,"SCZ vs AD"
"SOX9","Astro",0.256178472564374,0.253594730635128,"SCZ vs AD"
"ARX","EN",0.0527154276328875,0.248542713686615,"SCZ vs AD"
"DLX1","IN",0.0151001727764263,0.20900615552821,"Early vs Mid"
"LHX6","IN",0.0130541923522456,0.206918528755935,"Early vs Mid"
"PKNOX2","EN",0.0404563824388029,0.116725615247242,"SCZ vs AD"
"REL","PVM",0.232266419050702,0.0914936951401087,"SCZ vs AD"
"BCL6","Astro",0.391411728457908,0.0512056796353356,"SCZ vs AD"
"ARX","OPC",0.0263741349841852,0.0165735859779766,"SCZ vs AD"
"RBFOX2","OPC",-0.0819626889565186,0.0165735859779766,"SCZ vs AD"
"TCF4","OPC",0.0751670059204762,0.0165735859779766,"SCZ vs AD"
"LHX6","OPC",0.0225700564960558,-4.34294517815224e-11,"SCZ vs AD"
"ZMAT4","OPC",0.192394779724896,-4.34294517815224e-11,"SCZ vs AD"
"REL","Micro",0.113472899317103,-4.34294517815224e-11,"SCZ vs AD"
"LHX6","OPC",0.0134938953975168,-4.34294517815224e-11,"Early vs Mid"
"SETBP1","OPC",0.0268669358292159,-4.34294517815224e-11,"Early vs Mid"
"REL","Micro",0.298805628008299,-4.34294517815224e-11,"Early vs Mid"
"ARX","Astro",0.273625806172547,-4.34294517815224e-11,"Early vs Mid"
"FOXO1","Astro",0.308976739933023,-4.34294517815224e-11,"Early vs Mid"
"RFX2","Astro",0.208112633406458,-4.34294517815224e-11,"Early vs Mid"
"SOX9","Astro",0.115375332730016,-4.34294517815224e-11,"Early vs Mid"
"TCF7L1","Astro",0.406503059399039,-4.34294517815224e-11,"Early vs Mid"
"DLX1","OPC",0.117902041774136,-4.34294517815224e-11,"Mid vs Late"
"PKNOX2","OPC",0.0239569133737071,-4.34294517815224e-11,"Mid vs Late"
"ZMAT4","OPC",0.087201036356613,-4.34294517815224e-11,"Mid vs Late"
"IRF5","Micro",0.165121027845491,-4.34294517815224e-11,"Mid vs Late"
"RFX2","Astro",0.215074430393097,-4.34294517815224e-11,"Mid vs Late"
"SOX9","Astro",0.335407426177974,-4.34294517815224e-11,"Mid vs Late"
"REL","PVM",0.181036911395595,-4.34294517815224e-11,"Early vs Late"
"ARX","OPC",0.00233870076729241,-4.34294517815224e-11,"Early vs Late"
"LHX6","OPC",0.0427334219925131,-4.34294517815224e-11,"Early vs Late"
"RBFOX2","OPC",0.0827292503287181,-4.34294517815224e-11,"Early vs Late"
"REL","Immune",0.132342420039197,-4.34294517815224e-11,"Early vs Late"
"ARX","Astro",0.286919350661115,-4.34294517815224e-11,"Early vs Late"
"TCF4","EN",0.105263094985206,-4.34294517815224e-11,"SCZ vs AD"
"SRRM3","EN",0.126196404555241,-4.34294517815224e-11,"SCZ vs AD"
"LHX6","EN",-0.0602558922295793,-4.34294517815224e-11,"SCZ vs AD"
"SETBP1","EN",0.0162869945488244,-4.34294517815224e-11,"SCZ vs AD"
"SRRM3","EN",0.000396263119920001,-4.34294517815224e-11,"Early vs Mid"
"LHX6","EN",0.0531062101316861,-4.34294517815224e-11,"Early vs Mid"
"PKNOX2","EN",0.0192902158237339,-4.34294517815224e-11,"Early vs Mid"
"RBFOX2","EN",0.0684850976407221,-4.34294517815224e-11,"Early vs Mid"
"ZMAT4","EN",-0.0119835537225392,-4.34294517815224e-11,"Early vs Mid"
"BCL11A","EN",0.0768529925280726,-4.34294517815224e-11,"Early vs Mid"
"DLX1","EN",0.059486316544845,-4.34294517815224e-11,"Mid vs Late"
"ZMAT4","EN",0.0354959891845508,-4.34294517815224e-11,"Mid vs Late"
"RBFOX2","EN",-0.0266595847218347,-4.34294517815224e-11,"Mid vs Late"
"PKNOX2","EN",0.0166358538739717,-4.34294517815224e-11,"Mid vs Late"
"TCF4","EN",0.155928070865802,-4.34294517815224e-11,"Early vs Late"
"ARX","EN",0.131238863080135,-4.34294517815224e-11,"Early vs Late"
"LHX6","EN",0.121139326919002,-4.34294517815224e-11,"Early vs Late"
"SETBP1","EN",0.0598860925509202,-4.34294517815224e-11,"Early vs Late"
"DLX1","EN",0.0752693479614594,-4.34294517815224e-11,"Early vs Late"
"LHX6","IN",0.035563032142838,-4.34294517815224e-11,"SCZ vs AD"
"BCL11A","IN",0.0551048745754552,-4.34294517815224e-11,"Early vs Mid"
"PKNOX2","IN",0.0262761180353499,-4.34294517815224e-11,"Early vs Mid"
"SRRM3","IN",0.116702241939915,-4.34294517815224e-11,"Early vs Mid"
"SRRM3","IN",0.127635920037166,-4.34294517815224e-11,"Mid vs Late"
"DLX1","IN",0.0415388611840867,-4.34294517815224e-11,"Mid vs Late"
"ARX","IN",0.022172140606263,-4.34294517815224e-11,"Mid vs Late"
"PKNOX2","IN",0.00854337342338559,-4.34294517815224e-11,"Mid vs Late"
"SETBP1","IN",0.023675493612879,-4.34294517815224e-11,"Mid vs Late"
